sequence,fluorescence
yRG003,36.651730379453
yRG003,31.1568595770707
yRG003,32.9401697345998
yRG003,28.279768088288
yRG004,1.08741336914755
yRG004,1.22742509185459
yRG004,1.18188952904842
yRG004,1.0021459008896
yRG053,48.4080362321978
yRG053,53.8765858503446
yRG053,43.9730208220228
yRG053,59.5171088234695
yRG054,37.6492314648442
yRG054,39.3960776637496
yRG054,37.7268519361433
yRG054,39.0832872031089
yRG055,58.6454454366696
yRG055,58.9144986228286
yRG055,58.9638103844058
yRG055,51.3142105717471
yRG069,21.0436386150337
yRG069,21.9106717689017
yRG069,26.5857916711351
yRG069,28.9232554901429
yRG070,26.6149499492291
yRG070,22.8767472984315
yRG070,27.1928128764995
yRG070,22.099462262151
yRG071,1.32386962209744
yRG071,1.23261082433311
yRG071,1.29203108302384
yRG071,1.33850134275776
yRG072,1.93478050946141
yRG072,1.60035191850248
yRG072,1.86274337314917
yRG072,1.73991075772721
yRG073,54.2764733717604
yRG073,50.83032809528
yRG073,52.3048454816653
yRG073,42.328151705426
yRG074,59.2524482010985
yRG074,48.5443591669641
yRG074,57.5205218679797
yRG074,65.7655266148973
yRG075,78.5597937847695
yRG075,59.2553484026125
yRG075,66.9223528538647
yRG075,76.2334912465914
yRG076,1.75011514089274
yRG076,1.9382392373615
yRG076,1.4351389448008
yRG076,1.49568492680388
