sequence,ph,ldopa,activity
DODAa1,6,0,0.092
DODAa1,6,0.127,1.7476
DODAa1,6,0.253,2.2617
DODAa1,6,0.38,2.13
DODAa1,6,0.507,2.0225
DODAa1,6,0.633,1.7795
DODAa1,6,1.267,0.7193
DODAa1,6,1.9,0.7607
DODAa1,6,2.533,0.5971
DODAa1,6,3.167,0.5128
DODAa1,6,3.8,0.5773
DODAa1,6,0,0.0944
DODAa1,6,0.127,1.6691
DODAa1,6,0.253,2.3914
DODAa1,6,0.38,2.5141
DODAa1,6,0.507,1.8395
DODAa1,6,0.633,1.3192
DODAa1,6,1.267,0.8256
DODAa1,6,1.9,0.7484
DODAa1,6,2.533,0.6384
DODAa1,6,3.167,0.7595
DODAa1,6,3.8,0.4928
DODAa2,6,0,0.0657
DODAa2,6,0.127,0.3916
DODAa2,6,0.253,0.4336
DODAa2,6,0.38,0.4056
DODAa2,6,0.507,0.3497
DODAa2,6,0.633,0.4056
DODAa2,6,1.267,0.4336
DODAa2,6,1.9,0.3916
DODAa2,6,2.533,0.3916
DODAa2,6,3.167,0.4336
DODAa2,6,3.8,0.4476
DODAa2,6,0,0.1056
DODAa2,6,0.127,0.4336
DODAa2,6,0.253,0.2937
DODAa2,6,0.38,0.3916
DODAa2,6,0.507,0.3916
DODAa2,6,0.633,0.3916
DODAa2,6,1.267,0.4056
DODAa2,6,1.9,0.4336
DODAa2,6,2.533,0.4895
DODAa2,6,3.167,0.5594
DODAa2,6,3.8,0.5734
DODAa2-mut3,6,0,0.0636
DODAa2-mut3,6,0.127,0.4056
DODAa2-mut3,6,0.253,0.4615
DODAa2-mut3,6,0.38,0.4615
DODAa2-mut3,6,0.507,0.3916
DODAa2-mut3,6,0.633,0.4056
DODAa2-mut3,6,1.267,0.3916
DODAa2-mut3,6,1.9,0.4755
DODAa2-mut3,6,2.533,0.5035
DODAa2-mut3,6,3.167,0.6014
DODAa2-mut3,6,3.8,0.5594
DODAa2-mut3,6,0,0.0636
DODAa2-mut3,6,0.127,0.2378
DODAa2-mut3,6,0.253,0.3636
DODAa2-mut3,6,0.38,0.3636
DODAa2-mut3,6,0.507,0.2378
DODAa2-mut3,6,0.633,0.3357
DODAa2-mut3,6,1.267,0.3916
DODAa2-mut3,6,1.9,0.3916
DODAa2-mut3,6,2.533,0.5594
DODAa2-mut3,6,3.167,0.5035
DODAa2-mut3,6,3.8,0.4056
