sequence,mAU,betanin_uM,betanin_ugL,betanin_ugmg,betanin_ngmg
DODAa1,202.0704,23.5148778699685,12967.9848477302,0.259359696954604,259.359696954604
DODAa1,144.3765,16.801054309753,9265.44543074256,0.185308908614851,185.308908614851
DODAa1,227.8988,26.5205218018689,14625.5373632947,0.292510747265893,292.510747265893
DODAa1,76.4333,8.89452247681333,4905.15125551302,0.0981030251102603,98.1030251102603
DODAa1,203.5751,23.6899794025578,13064.5498409226,0.261290996818452,261.290996818452
DODAa2-MN,1.7572,0.204484889390572,112.769326801113,0.00225538653602225,2.25538653602225
DODAa2-MN,0.5635,0.0655743428019504,36.1629385684196,0.000723258771368392,0.723258771368392
DODAa2-MN,2.2066,0.256781446010264,141.60983184574,0.00283219663691481,2.83219663691481
DODAa2-MN-mut3,0.7314,0.0851128204531437,46.9380182234997,0.000938760364469994,0.938760364469994
DODAa2-MN-mut3,1.279,0.148836884549591,82.0805650914084,0.00164161130182817,1.64161130182817
DODAa2-MN-mut3,0.785,0.0913502379760977,50.3778292390584,0.00100755658478117,1.00755658478117
DODAa2-MN-mut3,0.1839,0.0214003933296871,11.8018889134558,0.000236037778269117,0.236037778269117
DODAa2-MN-mut3,0.6683,0.0777698904960842,42.8885392107805,0.00085777078421561,0.85777078421561
uninfiltrated,0.0269,0.00313034573446755,1.72632306564416,3.45264613128833E-05,0.0345264613128833
uninfiltrated,0,0,0,0,0
uninfiltrated,0.0093,0.00108223848812447,0.596832881430882,1.19366576286176E-05,0.0119366576286176
uninfiltrated,0.0113,0.00131497794793618,0.725184038727846,1.45036807745569E-05,0.0145036807745569
