strain,sequence,fluorescence
yRG003,DODAa1,8023.34337349398
yRG003,DODAa1,7935.13119533528
yRG003,DODAa1,7721.1145194274
yRG003,DODAa1,8044.58762886598
yRG056,DODAa2,279.680365296804
yRG056,DODAa2,214.597478176528
yRG056,DODAa2,368.111831442464
yRG056,DODAa2,320.084666039511
yRG057,DODAa2-mut3,383.514986376022
yRG057,DODAa2-mut3,351.713532513181
yRG057,DODAa2-mut3,363.369467028004
yRG057,DODAa2-mut3,318.372093023256
yHS023,CYP76AD6,191.484716157205
yHS023,CYP76AD6,107.575757575758
yHS023,CYP76AD6,200.4039497307
yHS023,CYP76AD6,219.614624505929
